batter,total_runs,balls_faced,total_fours,total_sixes,total_matches,batting_average,strike_rate,boundary_runs
V Kohli,8014,6236,708,273,244,32.84,128.51,4470
S Dhawan,6769,5483,768,153,221,30.63,123.45,3990
RG Sharma,6630,5183,599,281,251,26.41,127.92,4082
DA Warner,6567,4849,663,236,184,35.69,135.43,4068
SK Raina,5536,4177,506,204,200,27.68,132.54,3248
MS Dhoni,5243,3947,363,252,228,23.0,132.84,2964
AB de Villiers,5181,3487,414,253,170,30.48,148.58,3174
CH Gayle,4997,3516,408,359,141,35.44,142.12,3786
RV Uthappa,4954,3927,481,182,197,25.15,126.15,3016
KD Karthik,4843,3687,466,161,233,20.79,131.35,2830
KL Rahul,4689,3578,400,187,122,38.43,131.05,2722
AM Rahane,4642,3858,479,103,171,27.15,120.32,2534
F du Plessis,4571,3435,422,166,138,33.12,133.07,2684
SV Samson,4419,3270,352,206,162,27.28,135.14,2644
AT Rayudu,4348,3490,359,173,185,23.5,124.58,2474
G Gambhir,4217,3524,492,59,151,27.93,119.67,2322
SR Watson,3880,2892,377,190,141,27.52,134.16,2648
MK Pandey,3859,3288,335,111,158,24.42,117.37,2006
SA Yadav,3594,2522,385,130,135,26.62,142.51,2320
JC Buttler,3583,2519,356,161,106,33.8,142.24,2390
KA Pollard,3437,2447,221,224,168,20.46,140.46,2228
RR Pant,3297,2296,298,154,110,29.97,143.6,2116
YK Pathan,3222,2334,263,161,153,21.06,138.05,2018
Shubman Gill,3216,2432,310,95,99,32.48,132.24,1810
Q de Kock,3160,2410,316,123,107,29.53,131.12,2002
SS Iyer,3131,2545,272,113,114,27.46,123.03,1766
RA Jadeja,2959,2378,215,107,180,16.44,124.43,1502
WP Saha,2934,2368,296,87,143,20.52,123.9,1706
DA Miller,2924,2171,207,134,123,23.77,134.68,1632
BB McCullum,2882,2272,293,130,109,26.44,126.85,1952
PA Patel,2848,2442,365,49,136,20.94,116.63,1754
GJ Maxwell,2772,1842,233,160,128,21.66,150.49,1892
Yuvraj Singh,2754,2207,218,149,126,21.86,124.78,1766
V Sehwag,2728,1833,334,106,104,26.23,148.83,1972
MA Agarwal,2669,2081,265,98,121,22.06,128.26,1648
Ishan Kishan,2644,1991,255,119,99,26.71,132.8,1734
N Rana,2636,2015,234,132,101,26.1,130.82,1728
M Vijay,2619,2208,247,91,105,24.94,118.61,1534
HH Pandya,2534,1814,189,137,128,19.8,139.69,1578
SPD Smith,2495,1999,226,60,93,26.83,124.81,1264
SE Marsh,2489,1913,269,78,69,36.07,130.11,1544
AD Russell,2488,1515,171,209,104,23.92,164.22,1938
JH Kallis,2427,2291,255,44,95,25.55,105.94,1284
DR Smith,2385,1803,245,117,88,27.1,132.28,1682
RD Gaikwad,2380,1781,217,91,65,36.62,133.63,1414
SR Tendulkar,2334,2044,296,29,78,29.92,114.19,1358
RA Tripathi,2236,1650,223,84,93,24.04,135.52,1396
R Dravid,2174,1918,269,28,82,26.51,113.35,1244
KS Williamson,2132,1734,187,64,76,28.05,122.95,1132
AJ Finch,2092,1696,214,78,90,23.24,123.35,1324
AC Gilchrist,2069,1555,239,92,80,25.86,133.05,1508
JP Duminy,2029,1680,126,79,75,27.05,120.77,978
MEK Hussey,1977,1648,198,52,58,34.09,119.96,1104
PP Shaw,1892,1321,238,61,79,23.95,143.22,1318
MP Stoinis,1866,1366,150,91,88,21.2,136.6,1146
DPMD Jayawardene,1808,1522,200,40,78,23.18,118.79,1040
N Pooran,1769,1143,113,127,72,24.57,154.77,1214
Mandeep Singh,1706,1418,176,38,97,17.59,120.31,932
MK Tiwary,1695,1489,156,40,83,20.42,113.83,864
KC Sangakkara,1687,1424,195,27,68,24.81,118.47,942
AR Patel,1653,1318,107,79,112,14.76,125.42,902
KH Pandya,1647,1287,144,61,107,15.39,127.97,942
YBK Jaiswal,1607,1095,199,64,52,30.9,146.76,1180
JM Bairstow,1589,1132,166,69,50,31.78,140.37,1078
DJ Bravo,1560,1247,120,66,110,14.18,125.1,876
D Padikkal,1559,1323,170,42,64,24.36,117.84,932
NV Ojha,1554,1360,121,79,94,16.53,114.26,958
SP Narine,1534,984,164,97,106,14.47,155.89,1238
S Dube,1502,1077,86,101,61,24.62,139.46,950
KK Nair,1496,1192,161,39,68,22.0,125.5,878
